"Company","Date","Followers"
"EKI Energy Services Ltd (EnKing International) @EKIEnergy",2023-01-28,18857
"EMBL",2023-01-25,112101
"EMBL",2023-01-29,112296
"EMCDDA <U+0097> European Monitoring Centre for Drugs and Drug Addiction",2023-01-28,10575
"EMD Serono Inc.",2023-01-21,45998
"EMD Serono Inc.",2023-02-10,46247
"EMD Serono Inc.",2023-02-25,46406
"EMD Serono Inc.",2023-03-13,46578
"EMD Serono Inc.",2023-03-29,46808
"EMD Serono Inc.",2023-04-10,46935
"EMD Serono Inc.",2023-04-23,47086
"EMD Serono Inc.",2023-06-05,47725
"EMD Serono Inc.",2023-06-11,47841
"EMD Serono Inc.",2023-06-23,48009
"EMD Serono Inc.",2023-07-06,48178
"EMD Serono Inc.",2023-07-23,48329
"EMD Serono Inc.",2023-08-05,48501
"EMD Serono Inc.",2023-08-29,48866
"EMD Serono Inc.",2023-10-18,49566
"EMD Serono Inc.",2023-12-14,49483
"EMD Serono Inc.",2023-12-17,49546
"EMD Serono Inc.",2023-12-18,49554
"EMOTIV",2023-01-25,18402
"EMOTIV",2023-01-29,18428
"ENPULSION",2023-01-21,3825
"ENPULSION",2023-02-25,3908
"ENPULSION",2023-03-13,3933
"ENPULSION",2023-03-29,4004
"ENPULSION",2023-04-10,4033
"ENPULSION",2023-04-23,4056
"ENPULSION",2023-06-05,4128
"ENPULSION",2023-06-11,4136
"ENPULSION",2023-06-23,4151
"ENPULSION",2023-07-06,4176
"ENPULSION",2023-07-23,4208
"ENPULSION",2023-08-05,4249
"ENPULSION",2023-08-29,4356
"ENPULSION",2023-10-18,4620
"ENPULSION",2023-12-18,4651
"ENSO BUSINESS SERVICES",2021-05-10,133
"EOS Worldwide",2023-01-21,22619
"EOS Worldwide",2023-02-10,23110
"EOS Worldwide",2023-02-25,23435
"EOS Worldwide",2023-03-13,23776
"EOS Worldwide",2023-03-29,24204
"EOS Worldwide",2023-04-10,24412
"EOS Worldwide",2023-04-23,24808
"EOS Worldwide",2023-06-05,26473
"EOS Worldwide",2023-06-11,26672
"EOS Worldwide",2023-06-23,26990
"EOS Worldwide",2023-07-06,27258
"EOS Worldwide",2023-07-23,27626
"EOS Worldwide",2023-08-05,27925
"EOS Worldwide",2023-08-29,28422
"EOS Worldwide",2023-10-18,29741
"EOS Worldwide",2023-12-14,30525
"EOS Worldwide",2023-12-17,30609
"EOS Worldwide",2023-12-18,30640
"EPSRC",2023-01-28,13848
"ERM",2023-01-28,339435
"ESA BIC Hessen & Baden-W<fc>rttemberg",2020-10-28,894
"ESA BIC Hessen & Baden-W<fc>rttemberg",2020-11-07,901
"ESA BIC Hessen & Baden-W<fc>rttemberg",2020-11-21,906
"ESA BIC Hessen & Baden-W<fc>rttemberg",2020-11-30,910
"ESA BIC Hessen & Baden-W<fc>rttemberg",2020-12-08,911
"ESA BIC Hessen & Baden-Wurttemberg",2020-10-20,885
"ESA Space Solutions",2023-01-21,55091
"ESA Space Solutions",2023-02-25,55871
"ESA Space Solutions",2023-03-13,56255
"ESA Space Solutions",2023-03-29,56575
"ESA Space Solutions",2023-04-10,56752
"ESA Space Solutions",2023-04-23,56995
"ESA Space Solutions",2023-06-05,57672
"ESA Space Solutions",2023-06-11,57767
"ESA Space Solutions",2023-06-23,57934
"ESA Space Solutions",2023-07-06,58066
"ESA Space Solutions",2023-07-23,61641
"ESA Space Solutions",2023-08-05,61840
"ESA Space Solutions",2023-08-29,62223
"ESA Space Solutions",2023-10-18,63011
"ESA Space Solutions",2023-12-18,62627
"ESCP Business School",2023-01-25,170153
"EST<dc> VERI BILIMI KUL<dc>B<dc>",2021-05-10,772
"ETH Z<fc>rich",2023-01-28,300328
"EUMETSAT",2023-01-28,25601
"EWOR",2023-01-25,9537
"EY",2023-01-21,7119201
"EY",2023-01-22,7121424
"EY",2023-01-28,7147038
"EY",2023-02-10,7192583
"EY",2023-02-25,7243256
"EY",2023-03-13,7298779
"EY",2023-03-29,7357892
"EY",2023-04-10,7401196
"EY",2023-04-23,7447386
"EY",2023-06-05,7603461
"EY",2023-06-11,7633350
"EY",2023-06-23,7697913
"EY",2023-07-06,7770256
"EY",2023-07-23,7856310
"EY",2023-08-05,7931886
"EY",2023-08-29,8053641
"EY",2023-10-18,8317217
"EY",2023-12-14,8223469
"EY",2023-12-17,8241593
"EY",2023-12-18,8246321
"Ekam Early Learning Centre",2020-12-27,403
"Ekam Early Learning Centre",2021-01-19,413
"Elastic",2020-10-14,152046
"Elastic",2020-10-19,153112
"Elastic",2023-01-21,310138
"Elastic",2023-01-25,311132
"Elastic",2023-02-10,315747
"Elastic",2023-02-25,320154
"Elastic",2023-03-13,324750
"Elastic",2023-03-29,330393
"Elastic",2023-04-10,333293
"Elastic",2023-04-23,337092
"Elastic",2023-06-05,348830
"Elastic",2023-06-11,350703
"Elastic",2023-06-23,354321
"Elastic",2023-07-06,357791
"Elastic",2023-07-23,362342
"Elastic",2023-08-05,366592
"Elastic",2023-08-29,372938
"Elastic",2023-10-18,385913
"Elastic",2023-12-17,389515
"Elastic",2023-12-18,389644
"Elbit Systems Ltd",2023-01-22,94537
"Electric Vehicles",2021-02-19,1071
"Electric Vehicles",2021-03-06,1138
"Electric Vehicles",2021-03-26,1213
"ElectroRoute",2020-12-27,1835
"ElectroRoute",2021-02-19,1903
"ElectroRoute",2021-03-26,1959
"Electronic Frontier Foundation (EFF)",2023-01-21,20871
"Electronic Frontier Foundation (EFF)",2023-02-10,21148
"Electronic Frontier Foundation (EFF)",2023-02-25,21326
"Electronic Frontier Foundation (EFF)",2023-03-13,21549
"Electronic Frontier Foundation (EFF)",2023-03-29,21724
"Electronic Frontier Foundation (EFF)",2023-04-10,21870
"Electronic Frontier Foundation (EFF)",2023-04-23,21996
"Electronic Frontier Foundation (EFF)",2023-06-05,22478
"Electronic Frontier Foundation (EFF)",2023-06-11,22557
"Electronic Frontier Foundation (EFF)",2023-06-23,22693
"Electronic Frontier Foundation (EFF)",2023-07-06,22785
"Electronic Frontier Foundation (EFF)",2023-07-23,22929
"Electronic Frontier Foundation (EFF)",2023-08-05,23038
"Electronic Frontier Foundation (EFF)",2023-08-29,23289
"Electronic Frontier Foundation (EFF)",2023-10-18,23965
"Electronic Frontier Foundation (EFF)",2023-12-14,23758
"Electronic Frontier Foundation (EFF)",2023-12-17,23794
"Electronic Frontier Foundation (EFF)",2023-12-18,23806
"Element 84",2023-04-23,1749
"Element 84",2023-06-05,1789
"Element 84",2023-06-11,1855
"Element 84",2023-06-23,1871
"Element 84",2023-07-06,1879
"Element 84",2023-07-23,1893
"Element 84",2023-08-05,1905
"Element 84",2023-08-29,1926
"Element 84",2023-10-18,2041
"Element 84",2023-12-17,2116
"Element 84",2023-12-18,2118
"Elevian Inc.",2023-01-25,1121
"Elevian Inc.",2023-01-29,1124
"Eli Lilly and Company",2023-01-28,1421350
"Elm Company",2020-10-30,302172
"Elm Company",2020-11-03,302436
"Elm Company",2020-11-06,302653
"Elm Company",2020-11-10,302948
"Elm Company",2020-11-14,303296
"Elm Company",2020-11-18,303836
"Elm Company",2020-11-23,304783
"Elm Company",2020-11-28,305467
"Elm Company",2020-12-03,306045
"Elm Company",2020-12-05,306257
"Elm Company",2020-12-12,307131
"Elm Company",2020-12-15,307585
"Elm Company",2020-12-20,308321
"Elm Company",2020-12-25,309681
"Elm Company",2020-12-29,310877
"Elm Company",2021-01-03,311735
"Elm Company",2021-01-06,312560
"Elm Company",2021-01-11,313370
"Elm Company",2021-01-15,314279
"Elm Company",2021-01-19,314952
"Elm Company",2021-01-25,316021
"Elm Company",2021-01-30,316656
"Elm Company",2021-01-31,316619
"Elm Company",2021-02-03,317157
"Elm Company",2021-02-07,317660
"Elm Company",2021-02-12,318472
"Elm Company",2021-02-17,319526
"Elm Company",2021-02-21,320207
"Elm Company",2021-02-25,321239
"Elm Company",2021-03-01,322230
"Elm Company",2021-03-06,323681
"Elm Company",2021-03-10,324663
"Elm Company",2021-03-16,325622
"Elm Company",2021-03-20,326408
"Elm Company",2021-03-24,326895
"Elm Company",2021-03-30,327760
"Elm Company",2021-04-06,328505
"Elm Company",2021-04-10,329229
"Elm Company",2021-04-15,329720
"Elm Company",2021-04-20,330392
"Elm Company",2021-04-24,330949
"Elm Company",2021-04-28,331602
"Elm Company",2021-05-03,332354
"Elm Company",2021-05-07,332946
"Elm Company",2021-05-10,333289
"Elm Company",2021-05-14,333634
"Elm Company",2021-05-21,335594
"Elm Company",2021-05-26,336511
"Elm Company",2021-06-02,337688
"Elm Company",2021-06-09,338806
"Elm Company",2021-06-16,339843
"Elm Company",2021-06-21,340515
"Elm Company",2021-06-29,341913
"Elm Company",2021-07-02,342498
"Elm Company",2021-07-04,342719
"Elm Company",2021-07-09,343516
"Elm Company",2021-07-14,344244
"Elm Company",2021-07-18,344755
"Elm Company",2021-07-22,345123
"Elm Company",2021-08-14,348397
"Elm Company",2021-08-26,350954
"Elm Company",2021-09-02,352484
"Elm Company",2021-09-16,355897
"Elm Company",2021-10-17,361140
"Elm Company",2021-10-29,362987
"Elm Company",2021-11-06,364696
"Elm Company",2021-11-20,366463
"Elm Company",2021-12-07,368406
"Elm Company",2021-12-14,369516
"Elm Company",2021-12-20,370790
"Elm Company",2021-12-26,372068
"Elm Company",2021-12-30,372705
"Elm Company",2021-12-31,372833
"Elm Company",2022-01-03,373191
"Elm Company",2022-01-04,373454
"Elm Company",2022-01-06,373799
"Elm Company",2022-01-07,374025
"Elm Company",2022-01-10,374450
"Elm Company",2022-01-14,375168
"Elm Company",2022-01-18,376039
"Elm Company",2022-01-27,377904
"Elm Company",2022-02-01,379281
"Elm Company",2022-02-07,380842
"Elm Company",2022-02-10,381755
"Elm Company",2022-02-12,382252
"Elm Company",2022-02-16,383666
"Elm Company",2022-02-20,384820
"Elm Company",2022-02-23,385627
"Elm Company",2022-02-26,386342
"Elm Company",2022-03-07,388618
"Elm Company",2022-03-15,390491
"Elm Company",2022-03-20,391571
"Elm Company",2022-03-29,393682
"Elm Company",2022-04-09,396149
"Elm Company",2022-04-11,396609
"Elm Company",2022-04-13,397165
"Elm Company",2022-04-25,399550
"Elm Company",2022-04-29,400257
"Elm Company",2022-05-05,400837
"Elm Company",2022-05-12,402398
"Elm Company",2022-05-30,405821
"Elm Company",2022-06-01,406094
"Elm Company",2022-06-03,406440
"Elm Company",2022-06-07,407314
"Elm Company",2022-06-08,407314
"Elm Company",2022-06-11,408255
"Elm Company",2022-06-16,409297
"Elm Company",2022-06-20,410003
"Elm Company",2022-06-22,410569
"Elm Company",2022-06-23,410718
"Elm Company",2022-06-28,411917
"Elm Company",2022-06-30,412245
"Elm Company",2022-07-01,412490
"Elm Company",2022-07-02,412573
"Elm Company",2022-07-04,413094
"Elm Company",2022-07-05,413514
"Elm Company",2022-07-09,414207
"Elm Company",2022-07-12,414736
"Elm Company",2022-07-18,416011
"Elm Company",2022-07-21,417081
"Elm Company",2022-07-23,417682
"Elm Company",2022-07-25,418512
"Elm Company",2022-08-01,420532
"Elm Company",2022-08-08,422548
"Elm Company",2022-08-16,425283
"Elm Company",2022-08-20,426673
"Elm Company",2022-08-25,428013
"Elm Company",2022-08-28,428913
"Elm Company",2022-09-01,430540
"Elm Company",2022-09-07,432422
"Elm Company",2022-09-10,433419
"Elm Company",2022-09-16,436001
"Elm Company",2022-09-22,438095
"Elm Company",2022-09-29,440111
"Elm Company",2022-10-03,441239
"Elm Company",2022-10-09,443744
"Elm Company",2022-10-12,444604
"Elm Company",2022-10-16,445372
"Elm Company",2022-10-22,446943
"Elm Company",2022-10-28,448696
"Elm Company",2022-11-03,450247
"Elm Company",2022-11-06,450907
"Elm Company",2022-11-14,452835
"Elm Company",2022-11-20,455041
"Elm Company",2022-11-24,456542
"Elm Company",2022-12-01,458251
"Elm Company",2022-12-08,459874
"Elm Company",2022-12-14,461385
"Elm Company",2022-12-27,464453
"Elm Company",2023-01-01,466001
"Elm Company",2023-01-05,467640
"Elm Company",2023-01-09,468694
"Elm Company",2023-01-22,472661
"Elm Company",2023-01-28,474848
"Elm Company",2023-02-04,476838
"Elm Company",2023-02-10,479126
"Elm Company",2023-02-13,480145
"Elm Company",2023-02-24,483433
"Elm Company",2023-03-10,487923
"Elm Company",2023-03-14,489325
"Elm Company",2023-03-18,490393
"Elm Company",2023-03-21,492073
"Elm Company",2023-03-25,493683
"Elm Company",2023-04-01,495890
"Elm Company",2023-04-10,498688
"Elm Company",2023-04-13,499709
"Elm Company",2023-04-21,501608
"Elm Company",2023-04-29,503142
"Elm Company",2023-05-12,507359
"Elm Company",2023-05-19,509485
"Elm Company",2023-05-29,512653
"Elm Company",2023-06-05,515195
"Elm Company",2023-06-11,518255
"Elm Company",2023-06-14,520292
"Elm Company",2023-06-17,522807
"Elm Company",2023-06-23,527140
"Elm Company",2023-06-27,528621
"Elm Company",2023-07-06,532164
"Elm Company",2023-07-23,538909
"Elm Company",2023-08-02,542268
