"Company","Date","Followers"
"CeADAR Ireland",2024-11-15,4157
"CeADAR Ireland",2024-11-24,4204
"CeADAR Ireland",2024-12-07,4278
"CeADAR Ireland",2025-01-08,4346
"CeADAR Ireland",2025-01-18,4379
"CeADAR Ireland",2025-01-27,4446
"CeADAR Ireland",2025-02-04,4498
"CeADAR Ireland",2025-02-20,4665
"CeADAR Ireland",2025-02-28,4827
"CeADAR Ireland",2025-03-03,4849
"CeADAR IrelandCeADAR Ireland",2023-12-14,NA
"Cedo",2023-01-28,3816
"Cegedim e-business",2020-10-16,1961
"Cegedim e-business",2020-10-21,1969
"Cegedim e-business",2020-10-24,1973
"Cegedim e-business",2020-10-28,1980
"Cel-Sci",2023-01-25,270
"Cel-Sci",2023-01-29,270
"Cell & Gene Therapy Manufacturing",2023-01-25,1879
"Cell & Gene Therapy Manufacturing",2023-01-29,1887
"Cell and Gene Therapy Catapult",2023-01-25,34397
"Cell and Gene Therapy Catapult",2023-01-29,34484
"CellClar",2023-12-14,1046
"CellClar",2023-12-18,1046
"CellClar",2024-01-22,1147
"CellClar",2024-04-09,1462
"CellClar",2024-04-17,1508
"CellClar",2024-04-28,1555
"CellClar",2024-05-03,1595
"CellClar",2024-05-19,1651
"CellClar",2024-06-08,1766
"CellClar",2024-06-24,1851
"CellClar",2024-06-28,1875
"CellClar",2024-07-17,1930
"CellClar",2024-07-20,1952
"CellClar",2024-07-23,1960
"CellClar",2024-08-02,1981
"CellClar",2024-08-06,1985
"CellClar",2024-08-09,1993
"CellClar",2024-08-20,2006
"CellClar",2024-09-02,2105
"CellClar",2024-09-07,2169
"CellClar",2024-09-10,2181
"CellClar",2024-09-16,2202
"CellClar",2024-09-24,2228
"CellClar",2024-10-02,2241
"CellClar",2024-11-15,2353
"CellClar",2024-11-24,2371
"CellClar",2024-12-07,2390
"CellClar",2025-01-08,2439
"CellClar",2025-01-18,2466
"CellClar",2025-01-27,2475
"CellClar",2025-02-04,2488
"CellClar",2025-02-20,2510
"CellClar",2025-02-28,2511
"CellClar",2025-03-03,2513
"Cellino",2023-01-25,5727
"Cellino",2023-01-29,5765
"Cenla Environmental Science",2023-01-28,113
"Censius",2023-01-21,12891
"Censius",2023-02-25,15039
"Censius",2023-03-13,15393
"Censius",2023-03-29,16605
"Censius",2023-04-10,16614
"Censius",2023-04-23,16598
"Censius",2023-06-05,16639
"Censius",2023-06-11,16643
"Censius",2023-06-23,16669
"Censius",2023-07-06,16695
"Censius",2023-07-23,16674
"Censius",2023-08-05,16681
"Censius",2023-08-29,16676
"Censius",2023-10-18,16676
"Centennial Parklands",2023-01-28,500
"Center for Breakthrough Medicines",2023-01-25,12143
"Center for Breakthrough Medicines",2023-01-29,12229
"Center for International Environmental Law (CIEL)",2023-03-25,12465
"Center for International Environmental Law (CIEL)",2023-04-01,12661
"Center for International Environmental Law (CIEL)",2023-04-10,12888
"Center for International Environmental Law (CIEL)",2023-04-13,12950
"Center for International Environmental Law (CIEL)",2023-04-21,13063
"Center for International Environmental Law (CIEL)",2023-04-29,13144
"Center for International Environmental Law (CIEL)",2023-05-12,13294
"Center for International Environmental Law (CIEL)",2023-05-19,13374
"Center for International Environmental Law (CIEL)",2023-05-29,13478
"Center for International Environmental Law (CIEL)",2023-06-05,13604
"Center for International Environmental Law (CIEL)",2023-06-11,13665
"Center for International Environmental Law (CIEL)",2023-06-14,13733
"Center for International Environmental Law (CIEL)",2023-06-17,13766
"Center for International Environmental Law (CIEL)",2023-06-23,13871
"Center for International Environmental Law (CIEL)",2023-06-27,13941
"Center for International Environmental Law (CIEL)",2023-07-06,14117
"Center for International Environmental Law (CIEL)",2023-07-23,14420
"Center for International Environmental Law (CIEL)",2023-08-02,14574
"Center for International Environmental Law (CIEL)",2023-08-08,14681
"Center for International Environmental Law (CIEL)",2023-08-10,14785
"Center for International Environmental Law (CIEL)",2023-08-29,15150
"Center for International Environmental Law (CIEL)",2023-09-15,15384
"Center for International Environmental Law (CIEL)",2023-10-18,15861
"Center for International Environmental Law (CIEL)",2023-12-14,16616
"Center for International Environmental Law (CIEL)",2023-12-16,16643
"Center for International Environmental Law (CIEL)",2023-12-18,16657
"Center for International Environmental Law (CIEL)",2024-01-22,16946
"Center for International Environmental Law (CIEL)",2024-04-08,18005
"Center for International Environmental Law (CIEL)",2024-04-09,18133
"Center for International Environmental Law (CIEL)",2024-04-17,18384
"Center for International Environmental Law (CIEL)",2024-04-19,18431
"Center for International Environmental Law (CIEL)",2024-04-28,18658
"Center for International Environmental Law (CIEL)",2024-05-03,18839
"Center for International Environmental Law (CIEL)",2024-05-19,19164
"Center for International Environmental Law (CIEL)",2024-05-28,19306
"Center for International Environmental Law (CIEL)",2024-06-08,19411
"Center for International Environmental Law (CIEL)",2024-06-24,19579
"Center for International Environmental Law (CIEL)",2024-06-28,19623
"Center for International Environmental Law (CIEL)",2024-07-17,19878
"Center for International Environmental Law (CIEL)",2024-07-20,19929
"Center for International Environmental Law (CIEL)",2024-07-23,19954
"Center for International Environmental Law (CIEL)",2024-08-02,20049
"Center for International Environmental Law (CIEL)",2024-08-06,20080
"Center for International Environmental Law (CIEL)",2024-08-09,20212
"Center for International Environmental Law (CIEL)",2024-08-20,20494
"Center for International Environmental Law (CIEL)",2024-09-02,20746
"Center for International Environmental Law (CIEL)",2024-09-07,20877
"Center for International Environmental Law (CIEL)",2024-09-10,20948
"Center for International Environmental Law (CIEL)",2024-09-16,21079
"Center for International Environmental Law (CIEL)",2024-09-24,21216
"Center for International Environmental Law (CIEL)",2024-10-02,21464
"Center for International Environmental Law (CIEL)",2024-11-15,22294
"Center for International Environmental Law (CIEL)",2024-11-24,22895
"Center for International Environmental Law (CIEL)",2024-12-07,23670
"Center for International Environmental Law (CIEL)",2025-01-08,24410
"Center for International Environmental Law (CIEL)",2025-01-18,24497
"Center for International Environmental Law (CIEL)",2025-01-27,24549
"Center for International Environmental Law (CIEL)",2025-02-04,24617
"Center for International Environmental Law (CIEL)",2025-02-20,24830
"Center for International Environmental Law (CIEL)",2025-02-28,25022
"Center for International Environmental Law (CIEL)",2025-03-03,25066
"Center for Internet Security",2023-01-21,95204
"Center for Internet Security",2023-02-10,96887
"Center for Internet Security",2023-02-25,98200
"Center for Internet Security",2023-03-13,99475
"Center for Internet Security",2023-03-29,100769
"Center for Internet Security",2023-04-10,101810
"Center for Internet Security",2023-04-23,102906
"Center for Internet Security",2023-06-05,107213
"Center for Internet Security",2023-06-11,107900
"Center for Internet Security",2023-06-23,109193
"Center for Internet Security",2023-07-06,110526
"Center for Internet Security",2023-07-23,112050
"Center for Internet Security",2023-08-05,113337
"Center for Internet Security",2023-08-29,115269
"Center for Internet Security",2023-10-18,120224
"Center for Internet Security",2023-12-14,120395
"Center for Internet Security",2023-12-17,120588
"Center for Internet Security",2023-12-18,120634
"Center for Internet Security",2024-05-04,127982
"Center for Internet Security",2024-05-28,129228
"Center for Internet Security",2024-06-28,130590
"Center for Internet Security",2024-08-06,131839
"Center for Internet Security",2024-09-02,132634
"Center for Internet Security",2024-09-16,133079
"Center for Internet Security",2024-09-27,133441
"Center for Internet Security",2025-01-09,136280
"Center for Internet Security",2025-01-19,136737
"Center for Internet Security",2025-01-27,137079
"Center for Scientific Collaboration and Community Engagement",2023-01-25,814
"Center for Scientific Collaboration and Community Engagement",2023-10-18,1074
"Center for Systems Security and Information Assurance (CSSIA)",2023-01-21,67
"Center for Systems Security and Information Assurance (CSSIA)",2023-02-25,70
"Center for Systems Security and Information Assurance (CSSIA)",2023-03-13,74
"Center for Systems Security and Information Assurance (CSSIA)",2023-03-29,77
"Center for Systems Security and Information Assurance (CSSIA)",2023-04-10,78
"Center for Systems Security and Information Assurance (CSSIA)",2023-04-23,78
"Center for Systems Security and Information Assurance (CSSIA)",2023-06-05,81
"Center for Systems Security and Information Assurance (CSSIA)",2023-06-11,82
"Center for Systems Security and Information Assurance (CSSIA)",2023-06-23,83
"Center for Systems Security and Information Assurance (CSSIA)",2023-07-06,86
"Center for Systems Security and Information Assurance (CSSIA)",2023-07-23,88
"Center for Systems Security and Information Assurance (CSSIA)",2023-08-05,90
"Center for Systems Security and Information Assurance (CSSIA)",2023-08-29,90
"Center for Systems Security and Information Assurance (CSSIA)",2023-10-18,97
"Center for Systems Security and Information Assurance (CSSIA)",2023-12-18,98
"Center for Technology Responding to Climate Change (CliTech)",2023-01-28,86
"Centered",2023-01-25,1338
"Centers for Disease Control and Prevention",2023-01-21,1900128
"Centers for Disease Control and Prevention",2023-02-10,1915349
"Centers for Disease Control and Prevention",2023-02-25,1925008
"Centers for Disease Control and Prevention",2023-03-13,1936712
"Centers for Disease Control and Prevention",2023-03-29,1948824
"Centers for Disease Control and Prevention",2023-04-10,1956668
"Centers for Disease Control and Prevention",2023-04-23,1964917
"Centers for Disease Control and Prevention",2023-06-05,1992167
"Centers for Disease Control and Prevention",2023-06-11,1998918
"Centers for Disease Control and Prevention",2023-06-23,2012481
"Centers for Disease Control and Prevention",2023-07-06,2025639
"Centers for Disease Control and Prevention",2023-07-23,2041223
"Centers for Disease Control and Prevention",2023-08-05,2055073
"Centers for Disease Control and Prevention",2023-08-29,2076462
"Centers for Disease Control and Prevention",2023-10-18,2118141
"Centers for Disease Control and Prevention",2023-12-14,2010562
"Centers for Disease Control and Prevention",2023-12-17,2012809
"Centers for Disease Control and Prevention",2023-12-18,2013357
"Centers for Disease Control and Prevention",2024-05-04,2092757
"Centers for Disease Control and Prevention",2024-05-28,2102268
"Centers for Disease Control and Prevention",2024-06-28,2114953
"Centers for Disease Control and Prevention",2024-08-06,2129677
"Centers for Disease Control and Prevention",2024-09-02,2140731
"Centers for Disease Control and Prevention",2024-09-16,2147141
"Centers for Disease Control and Prevention",2024-09-27,2152216
"Centers for Disease Control and Prevention",2025-01-09,2173144
"Centers for Disease Control and Prevention",2025-01-19,2175949
"Centers for Disease Control and Prevention",2025-01-27,2177611
"Central Bank of Ireland",2020-10-20,50660
"Central Intelligence Agency",2023-01-21,225667
"Central Intelligence Agency",2023-02-10,232560
"Central Intelligence Agency",2023-02-25,236796
"Central Intelligence Agency",2023-03-13,242310
"Central Intelligence Agency",2023-03-29,248059
"Central Intelligence Agency",2023-04-10,251919
"Central Intelligence Agency",2023-04-23,255942
"Central Intelligence Agency",2023-06-05,267653
"Central Intelligence Agency",2023-06-11,269195
"Central Intelligence Agency",2023-06-23,272244
"Central Intelligence Agency",2023-07-06,275384
"Central Intelligence Agency",2023-07-23,279248
"Central Intelligence Agency",2023-08-05,282559
"Central Intelligence Agency",2023-08-29,288251
"Central Intelligence Agency",2023-10-18,268300
"Central Intelligence Agency",2023-12-14,272080
"Central Intelligence Agency",2023-12-17,272243
"Central Intelligence Agency",2023-12-18,272287
"Central Intelligence Agency",2024-04-08,287338
"Central Intelligence Agency",2024-05-04,289261
"Central Intelligence Agency",2024-05-28,293398
"Central Intelligence Agency",2024-06-24,298679
"Central Intelligence Agency",2024-06-28,299436
"Central Intelligence Agency",2024-07-20,302900
"Central Intelligence Agency",2024-08-06,305360
"Central Intelligence Agency",2024-09-02,308601
"Central Intelligence Agency",2024-09-16,311260
"Central Intelligence Agency",2024-09-27,314419
"Central Intelligence Agency",2025-01-09,330732
"Central Intelligence Agency",2025-01-19,331362
"Central Intelligence Agency",2025-01-27,332084
"Central Park Conservancy",2025-01-09,14048
"Central Park Conservancy",2025-01-19,14111
"Central Park Conservancy",2025-01-27,14159
"Centre for Environment Education",2023-01-28,17456
"Centre for Science and Environment New Delhi",2023-01-28,45653
"Centre for Sustainable Fashion",2021-04-20,45157
"Centre for Sustainable Fashion",2021-04-24,45634
"Centre for Sustainable Fashion",2021-04-28,46176
"Centre for Sustainable Fashion",2021-05-07,47210
"Centre for Sustainable Fashion",2021-05-10,47463
"Centre for Sustainable Fashion",2021-05-14,47927
"Centre for Sustainable Fashion",2021-05-21,48614
"Centre for Sustainable Fashion",2021-05-26,49027
"Centre for Sustainable Fashion",2021-05-31,49460
"Centre for Sustainable Fashion",2021-06-06,49805
"Centre for Sustainable Fashion",2021-06-09,50025
"Centre for Sustainable Fashion",2021-06-16,50332
"Centre for Sustainable Fashion",2021-06-21,50567
"Centre for Sustainable Fashion",2021-06-29,50905
