"Company","Date","Followers"
"Gordon and Betty Moore Foundation",2022-07-23,8264
"Gordon and Betty Moore Foundation",2022-07-25,8273
"Gordon and Betty Moore Foundation",2022-08-01,8332
"Gordon and Betty Moore Foundation",2022-08-08,8376
"Gordon and Betty Moore Foundation",2022-08-16,8443
"Gordon and Betty Moore Foundation",2022-08-20,8476
"Gordon and Betty Moore Foundation",2022-08-25,8501
"Gordon and Betty Moore Foundation",2022-08-28,8513
"Gordon and Betty Moore Foundation",2022-09-01,8539
"Gordon and Betty Moore Foundation",2022-09-07,8555
"Gordon and Betty Moore Foundation",2022-09-10,8572
"Gordon and Betty Moore Foundation",2022-09-16,8606
"Gordon and Betty Moore Foundation",2022-09-22,8649
"Gordon and Betty Moore Foundation",2022-09-29,8699
"Gordon and Betty Moore Foundation",2022-10-03,8735
"Gordon and Betty Moore Foundation",2022-10-09,8801
"Gordon and Betty Moore Foundation",2022-10-12,8823
"Gordon and Betty Moore Foundation",2022-10-16,8846
"Gordon and Betty Moore Foundation",2022-10-22,8891
"Gordon and Betty Moore Foundation",2022-10-28,8939
"Gordon and Betty Moore Foundation",2022-11-03,8981
"Gordon and Betty Moore Foundation",2022-11-06,8999
"Gordon and Betty Moore Foundation",2022-11-14,9085
"Gordon and Betty Moore Foundation",2022-11-20,9135
"Gordon and Betty Moore Foundation",2022-11-24,9151
"Gordon and Betty Moore Foundation",2022-12-01,9179
"Gordon and Betty Moore Foundation",2022-12-08,9217
"Gordon and Betty Moore Foundation",2022-12-14,9249
"Gordon and Betty Moore Foundation",2022-12-27,9297
"Gordon and Betty Moore Foundation",2023-01-01,9314
"Gordon and Betty Moore Foundation",2023-01-05,9332
"Gordon and Betty Moore Foundation",2023-01-09,9361
"Gordon and Betty Moore Foundation",2023-01-22,9440
"Gordon and Betty Moore Foundation",2023-01-28,9482
"Gordon and Betty Moore Foundation",2023-02-04,9518
"Gordon and Betty Moore Foundation",2023-02-10,9560
"Gordon and Betty Moore Foundation",2023-02-13,9580
"Gordon and Betty Moore Foundation",2023-02-24,9805
"Gordon and Betty Moore Foundation",2023-03-10,9932
"Gordon and Betty Moore Foundation",2023-03-14,9949
"Gordon and Betty Moore Foundation",2023-03-18,9972
"Gordon and Betty Moore Foundation",2023-03-21,9985
"Gordon and Betty Moore Foundation",2023-03-25,10102
"Gordon and Betty Moore Foundation",2023-04-01,10453
"Gordon and Betty Moore Foundation",2023-04-10,10559
"Gordon and Betty Moore Foundation",2023-04-13,10595
"Gordon and Betty Moore Foundation",2023-04-21,10649
"Gordon and Betty Moore Foundation",2023-04-29,10735
"Gordon and Betty Moore Foundation",2023-05-12,10828
"Gordon and Betty Moore Foundation",2023-05-19,10876
"Gordon and Betty Moore Foundation",2023-05-29,10939
"Gordon and Betty Moore Foundation",2023-06-05,11010
"Gordon and Betty Moore Foundation",2023-06-11,11045
"Gordon and Betty Moore Foundation",2023-06-14,11069
"Gordon and Betty Moore Foundation",2023-06-17,11086
"Gordon and Betty Moore Foundation",2023-06-23,11140
"Gordon and Betty Moore Foundation",2023-06-27,11172
"Gordon and Betty Moore Foundation",2023-07-06,11240
"Gordon and Betty Moore Foundation",2023-07-23,11323
"Gordon and Betty Moore Foundation",2023-08-02,11395
"Gordon and Betty Moore Foundation",2023-08-08,11424
"Gordon and Betty Moore Foundation",2023-08-10,11443
"Gordon and Betty Moore Foundation",2023-08-29,11566
"Gordon and Betty Moore Foundation",2023-09-15,11683
