"FishWise",2025-08-11,"6065"
"Xava",2025-08-11,"334"
"Dataiku",2025-08-11,"214881"
"Senseforth.ai",2025-08-11,"42546"
"H2O.ai",2025-08-11,"144239"
"Falkonry",2025-08-11,"5653"
"Gapminder Foundation",2025-08-11,"20607"
"Open Data Institute",2025-08-11,"21727"
"KatRisk",2025-08-11,"4013"
"Ixio Analytics",2025-08-11,"759"
"Xomnia",2025-08-11,"9407"
"Royal Statistical Society",2025-08-11,"20899"
"Black Girls Code",2025-08-11,"60155"
"FutureLearn",2025-08-11,"133051"
"dotAI by dotConferences",2025-08-11,"1402"
"Xanadu Consultancy",2025-08-11,"3122"
"ORRECO",2025-08-11,"5438"
"Qatar Computing Research Institute",2025-08-11,"21271"
"DataKind UK",2025-08-11,"5377"
"DataCamp",2025-08-11,"524008"
"Women Who Code",2025-08-11,"177299"
"Kitman Labs",2025-08-11,"16292"
"Plotly",2025-08-11,"43016"
"Data for Good",2025-08-11,"15260"
"Databricks",2025-08-11,"985849"
"IBM Hybrid Cloud and Infrastructure",2025-08-11,"278933"
"Appsilon",2025-08-11,"10819"
"Domino Data Lab",2025-08-11,"51824"
"BCG Digital Ventures",2025-08-11,"159645"
"Aon Centre for Innovation and Analytics (ACIA)",2025-08-11,"17832"
"Analytics Vidhya",2025-08-11,"204192"
"ProCogia",2025-08-11,"10936"
"Snowflake",2025-08-11,"1115163"
"Palomar ",2025-08-11,"6275"
"Data Science Dojo",2025-08-11,"306479"
"Fivetran",2025-08-11,"132875"
"DataIQ",2025-08-11,"23845"
"Data Science Institute",2025-08-11,"20036"
"IBM Data, AI & Automation",2025-08-11,"287604"
"CARTO",2025-08-11,"51911"
"Decision Inc.",2025-08-11,"37882"
"GitLab",2025-08-11,"1064827"
"Sustainable Development Solutions Network",2025-08-11,"81729"
"Segal Family Foundation",2025-08-11,"25507"
"Python Software Foundation",2025-08-11,"141893"
"Netcelero",2025-08-11,"1808"
"IHM ",2025-08-11,"4721"
"Major League Hacking",2025-08-11,"45882"
"UK Statistics Authority ",2025-08-11,"5094"
"Data Science Central",2025-08-11,"274434"
"SkyTruth",2025-08-11,"4407"
"VERDE",2025-08-11,"264"
"Daybreak",2025-08-11,"32203"
"Global Partnership for Sustainable Development Data",2025-08-11,"15743"
"Development Seed",2025-08-11,"8272"
"Group on Earth Observations (GEO)",2025-08-11,"19406"
"Squarepoint",2025-08-11,"63217"
"ADAPT Centre",2025-08-11,"8416"
"Data & Society Research Institute",2025-08-11,"24239"
"Appinventiv",2025-08-11,"631931"
"Gower Street Analytics",2025-08-11,"2381"
"Open Data Science Conference (ODSC)",2025-08-11,"143025"
"JuliaHub",2025-08-11,"33383"
"Python Ireland",2025-08-11,"4110"
"ThinkR (FR)",2025-08-11,"997"
"Sololearn",2025-08-11,"169980"
"Seekho.pk",2025-08-11,"17469"
"Lander Analytics",2025-08-11,"798"
"Dataquest.io",2025-08-11,"46074"
"NumFOCUS",2025-08-11,"11127"
"Ursa Labs",2025-08-11,"452"
"The Alan Turing Institute",2025-08-11,"98582"
"Klue",2025-08-11,"30465"
"insight2impact",2025-08-11,"1376"
"PyCon Italia",2025-08-11,"3275"
"PyData Berlin",2025-08-11,"1595"
"Project Jupyter",2025-08-11,"18096"
"GapData Institute",2025-08-11,"171"
"SatVu",2025-08-11,"11738"
"Data Science Academy",2025-08-11,"550935"
"Data For Good",2025-08-11,"25361"
"Twenty Billion Neurons",2025-08-11,"3276"
"Machine Learning Mastery",2025-08-11,"285373"
"SuperDataScience",2025-08-11,"94065"
"Big Data LDN",2025-08-11,"14359"
"Xuntos - Let's Get Together",2025-08-11,"834"
"Microsoft Power BI Mastery",2025-08-11,"86179"
"Zendesk AI agents (Ultimate)",2025-08-11,"14191"
"QuantStack",2025-08-11,"2355"
"Derilinx",2025-08-11,"1280"
"Radiant Earth",2025-08-11,"10640"
"United Nations Satellite Centre (UNOSAT)",2025-08-11,"8673"
"Global Fishing Watch",2025-08-11,"22201"
"OpenAI",2025-08-11,"7895937"
"RSS Data Science and AI Section",2025-08-11,"2950"
"Invenia Labs",2025-08-11,"2619"
"Hugging Face",2025-08-11,"1033702"
"Comunidad R Hispano",2025-08-11,"1178"
"The Global Academy",2025-08-11,"515"
"Open Cadastre",2025-08-11,"27"
"Sister Analyst",2025-08-11,"553"
"SDG Academy",2025-08-11,"31181"
"Innovate Limerick",2025-08-11,"937"
"Réalta Technologies",2025-08-11,"7981"
"R-Ladies Belo Horizonte",2025-08-11,"2177"
"PyData Amsterdam",2025-08-11,"4793"
"(WiMLDS) Women in Machine Learning & Data Science",2025-08-11,"18326"
"Fathom Data",2025-08-11,"804"
"ADF Haiti",2025-08-11,"736"
"eoda GmbH",2025-08-11,"1241"
"The Carpentries",2025-08-11,"3278"
"Alldus",2025-08-11,"125151"
"AI Ireland",2025-08-11,"6906"
"Data for Good Foundation",2025-08-11,"2402"
"RVA Data Science Community",2025-08-11,"366"
"Why R?",2025-08-11,"5237"
"InciSioN - International Student Surgical Network",2025-08-11,"5024"
"PyData Delhi",2025-08-11,"1839"
"Bhutan Data Scientists",2025-08-11,"64"
"Huawei IT Products & Solutions",2025-08-11,"32503"
"CivicDataLab",2025-08-11,"9083"
"R-Ladies Montpellier",2025-08-11,"35"
"SCALEWORK",2025-08-11,"1632"
"Data Visualization Society",2025-08-11,"150972"
"R-Ladies Italy",2025-08-11,"638"
"Omdena",2025-08-11,"51101"
"EcoAngola",2025-08-11,"33611"
"Rust Programming Language",2025-08-11,"8754"
"Age Of Geeks",2025-08-11,"149182"
"R User Group Nepal",2025-08-11,"102"
"Women in Machine Learning and Data Science MAURITIUS",2025-08-11,"111"
"R-Ladies Melbourne Inc",2025-08-11,"286"
"East Africa Research &Data Analysis",2025-08-11,"24"
"Irish Air Corps",2025-08-11,"2528"
"datatraining.io",2025-08-11,"46583"
"getINNOtized GmbH",2025-08-11,"8689"
"Evolution AI",2025-08-11,"4165"
"TrialAssure",2025-08-11,"4151"
"Data Science Council of America",2025-08-11,"60284"
"Obama Foundation",2025-08-11,"423255"
"Geosaber",2025-08-11,"13304"
"Tekkare",2025-08-11,"1719"
"R-Ladies Global",2025-08-11,"7899"
"Machine Learning Prague conference",2025-08-11,"951"
"Canvas Intelligence",2025-08-11,"15022"
"NVIDIA AI",2025-08-11,"1335584"
"QuantEcon",2025-08-11,"613"
"365 Data Science",2025-08-11,"175792"
"Hopsworks",2025-08-11,"6506"
"Business Science",2025-08-11,"15210"
"Treemetrics Ltd",2025-08-11,"1784"
"CeADAR Ireland",2025-08-11,"6108"
"Space4Good",2025-08-11,"13594"
"Outreachy",2025-08-11,"20682"
"DeepLearning.AI",2025-08-11,"1241381"
"UCL Data Science Society",2025-08-11,"1822"
"Stanford Center for Artificial Intelligence in Medicine and Imaging (AIMI)",2025-08-11,"88911"
"Government Statistical Service",2025-08-11,"10747"
"Government of Ireland",2025-08-11,"93097"
"Weights & Biases",2025-08-11,"83420"
"Quansight",2025-08-11,"5279"
"DSN - Data Science Nigeria",2025-08-11,"22926"
"African Institute for Mathematical Sciences, Ghana (AIMS Ghana)",2025-08-11,"3486"
"Zindi",2025-08-11,"18949"
"Data Science for Social Good Foundation",2025-08-11,"7556"
"R for the Rest of Us",2025-08-11,"6191"
"AIR Centre - Atlantic International Research Centre",2025-08-11,"6263"
"R User Community EMEA",2025-08-11,"602"
"SustainOSS",2025-08-11,"679"
"Cascadia R Conference",2025-08-11,"952"
"Coding Black Females",2025-08-11,"17487"
"OpenTeams",2025-08-11,"4084"
"R-Ladies Amsterdam",2025-08-11,"729"
"ArkeUp Academy | Océan Indien",2025-08-11,"2056"
"Google Summer of Code",2025-08-11,"105882"
"AWS Databases & Analytics",2025-08-11,"266056"
"Dragon Coders Private Limited",2025-08-11,"760"
"PlantingSpace",2025-08-11,"1748"
"The Currency",2025-08-11,"23634"
"Jumping Rivers Ltd",2025-08-11,"3719"
"PyData Toronto",2025-08-11,"103"
"Benin ThinkLab",2025-08-11,"90"
"Towards Data Science",2025-08-11,"642797"
"R Users Group - Ecuador",2025-08-11,"298"
"R-Ladies Miami",2025-08-11,"193"
"Anaconda, Inc.",2025-08-11,"97046"
"AI for Good",2025-08-11,"35766"
"Quansight Initiate",2025-08-11,"153"
"Prefect",2025-08-11,"27253"
"PyData London",2025-08-11,"1771"
"Health Data Research UK (HDR UK)",2025-08-11,"26693"
"PyData NYC",2025-08-11,"1827"
"PyData",2025-08-11,"1678"
"PyCon DE & PyData",2025-08-11,"4062"
"R-Ladies Goiânia",2025-08-11,"211"
"LSBU Business School ",2025-08-11,"2978"
"UN SDG:Learn",2025-08-11,"50089"
"AI Inclusive",2025-08-11,"4114"
"MachineX Intelligence",2025-08-11,"1764"
"Spatial Thoughts",2025-08-11,"44806"
"DataIQ School of Analysis",2025-08-11,"146"
"Warsaw RUG Meetup - Spotkania Entuzjastów R",2025-08-11,"48"
"NumericMind",2025-08-11,"1775"
"Women in Data®",2025-08-11,"96189"
"Data2X, United Nations Foundation",2025-08-11,"6166"
"R-Ladies Lima",2025-08-11,"1620"
"discoverkerry.com",2025-08-11,"3742"
"Observatoire du Numérique en Haïti (ObNH)",2025-08-11,"110"
"UNICEF Innocenti",2025-08-11,"71052"
"Source Cooperative",2025-08-11,"4552"
"ViennaR",2025-08-11,"386"
"EwaData",2025-08-11,"1014"
"R User Community Africa",2025-08-11,"91"
"ClusterAI",2025-08-11,"460"
"ArData",2025-08-11,"358"
"R-Ladies Montevideo",2025-08-11,"128"
"JuliaCon 2025",2025-08-11,"5281"
"R-Ladies Oslo",2025-08-11,"34"
"CIMS Global",2025-08-11,"565"
"Statistics Without Borders",2025-08-11,"2444"
"Datalitics",2025-08-11,"219"
"Towards AI",2025-08-11,"269622"
"R Consortium",2025-08-11,"9280"
"PyCaret",2025-08-11,"19618"
"The Catalyst",2025-08-11,"1662"
"Women in AI Benelux",2025-08-11,"9888"
"African Drone & Data Academy Powered By UNICEF",2025-08-11,"3206"
"UCD Netsoc – UCD's Internet and Computer Science Society",2025-08-11,"514"
"R User Community ",2025-08-11,"20223"
"Business Data Laboratory Limited",2025-08-11,"248"
"storytelling with data",2025-08-11,"161493"
"R-Ladies Charlottesville",2025-08-11,"19"
"Rose Data Studio, LLC",2025-08-11,"353"
