"Company","Date","Followers"
"ArkeUp Academy | Océan Indien",2023-12-16,1643
"ArkeUp Academy | Océan Indien",2023-12-18,1647
"ArkeUp Academy | Océan Indien",2024-01-22,1668
"ArkeUp Academy | Océan Indien",2024-04-09,1961
"ArkeUp Academy | Océan Indien",2024-04-17,1962
"ArkeUp Academy | Océan Indien",2024-04-19,1962
"ArkeUp Academy | Océan Indien",2024-04-28,1965
"ArkeUp Academy | Océan Indien",2024-05-03,1970
"IBM",2024-09-02,17148139
"Accenture",2024-09-02,12394724
"Tata Consultancy Services",2024-09-02,15914551
"McKinsey & Company",2024-09-02,5992402
"Novartis",2024-09-02,3912217
"SAS",2024-09-02,898521
"Roche",2024-09-02,3389357
"Cognizant",2024-09-02,7592705
"Boston Consulting Group (BCG)",2024-09-02,4560487
"Informatica",2024-09-02,313335
"Ascential",2024-09-02,66821
"Esri",2024-09-02,400747
"Globant",2024-09-02,1069015
"Bill & Melinda Gates Foundation",2024-09-02,1256986
"Nagarro",2024-09-02,1284827
"Newgen Software",2024-09-02,230370
"Open Society Foundations",2024-09-02,231621
"IUCN",2024-09-02,195877
"Ford Foundation",2024-09-02,217443
"Office for National Statistics",2024-09-02,74059
"KIPP Foundation",2024-09-02,61215
"RWJF",2024-09-02,107419
"United Nations Foundation",2024-09-02,200370
"Oceana",2024-09-02,65216
"Packt",2024-09-02,122775
"Qatar Foundation",2024-09-02,596189
"MacArthur Foundation",2024-09-02,141638
"Gordon and Betty Moore Foundation",2024-09-02,14576
"Two Sigma",2024-09-02,205740
"The David and Lucile Packard Foundation",2024-09-02,45491
"Skoll Foundation",2024-09-02,72064
"Analytic Partners",2024-09-02,23622
"Conning",2024-09-02,16709
"The James Irvine Foundation",2024-09-02,19805
"William and Flora Hewlett Foundation",2024-09-02,47060
"Elm Company",2024-09-02,652767
"Doris Duke Foundation",2024-09-02,8244
"Mellon Foundation",2024-09-02,51686
"W.K. Kellogg Foundation",2024-09-02,79512
"Rockefeller Philanthropy Advisors",2024-09-02,52090
"G-Research",2024-09-02,47280
"Brightwater",2024-09-02,184841
"Jupiter Asset Management",2024-09-02,47386
"Idiro Analytics",2024-09-02,5698
