"Company","Date","Followers"
"&effect data solutions GmbH",2023-01-25,647
"(ISC)<U+00B2>",2023-01-21,238266
"(ISC)<U+00B2>",2023-02-10,241729
"(ISC)<U+00B2>",2023-02-25,244930
"(ISC)<b2>",2023-03-13,248457
"IBM",2024-06-28,16707205
"Accenture",2024-06-28,12140928
"Tata Consultancy Services",2024-06-28,15341957
"McKinsey & Company",2024-06-28,5901604
"SAS",2024-06-28,887116
"Roche",2024-06-28,3319880
"Cognizant",2024-06-28,7421889
"Boston Consulting Group (BCG)",2024-06-28,4459411
"Informatica",2024-06-28,304922
"Ascential",2024-06-28,65576
"Esri",2024-06-28,390330
"Globant",2024-06-28,1029391
"Bill & Melinda Gates Foundation",2024-06-28,1238186
"Nagarro",2024-06-28,1235382
"Newgen Software",2024-06-28,217399
"Open Society Foundations",2024-06-28,227553
"IUCN",2024-06-28,189472
"Ford Foundation",2024-06-28,211665
"Office for National Statistics",2024-06-28,73144
"KIPP Foundation",2024-06-28,59582
"RWJF",2024-06-28,105154
"United Nations Foundation",2024-06-28,196803
"Oceana",2024-06-28,63941
"Packt",2024-06-28,121506
"Qatar Foundation",2024-06-28,588075
"MacArthur Foundation",2024-06-28,138206
"Gordon and Betty Moore Foundation",2024-06-28,13914
"Two Sigma",2024-06-28,199242
"The David and Lucile Packard Foundation",2024-06-28,44078
"Skoll Foundation",2024-06-28,70408
"Analytic Partners",2024-06-28,19362
"Conning",2024-06-28,16440
"The James Irvine Foundation",2024-06-28,19168
"William and Flora Hewlett Foundation",2024-06-28,45723
"Elm Company",2024-06-28,635973
"Doris Duke Foundation",2024-06-28,7874
"Mellon Foundation",2024-06-28,49944
"W.K. Kellogg Foundation",2024-06-28,77620
"Rockefeller Philanthropy Advisors",2024-06-28,50616
"G-Research",2024-06-28,45009
"Brightwater",2024-06-28,178468
"Jupiter Asset Management",2024-06-28,46316
"Idiro Analytics",2024-06-28,5657
"Datalytics",2024-06-28,32255
"Pluralsight",2024-06-28,200626
"The Kresge Foundation",2024-06-28,52378
"The New York Community Trust",2024-06-28,6223
"Women In Technology (WIT)",2024-06-28,321545
"Cpl",2024-06-28,343557
"GlobalLogic",2024-06-28,909868
"Susquehanna International Group LLP (SIG)",2024-06-28,163329
"The Rockefeller Foundation",2024-06-28,271263
"Tableau",2024-06-28,981895
"The Linux Foundation",2024-06-28,322751
"Genpact",2024-06-28,4107737
"i2 Inc.",2024-06-28,991
"The Apache Software Foundation",2024-06-28,72046
"WorldQuant",2024-06-28,99752
"Collibra",2024-06-28,72451
"Jump Trading Group",2024-06-28,69927
"Qualtrics",2024-06-28,263842
"United Nations Institute for Training and Research (UNITAR)",2024-06-28,416492
"Remsoft",2024-06-28,3788
"Altair RapidMiner",2024-06-28,20691
"Canadian Institute of Actuaries l Institut canadien des actuaires",2024-06-28,11207
"Geoscience Australia",2024-06-28,37729
"Conrad N. Hilton Foundation",2024-06-28,24158
"KNIME",2024-06-28,52908
"Irish Centre for High-End Computing ICHEC",2024-06-28,1585
"Udemy",2024-06-28,1390989
"Pacific Whale Foundation",2024-06-28,2960
"QuantumBlack AI by McKinsey",2024-06-28,204988
"Alteryx",2024-06-28,308434
"Datahug (acquired by CallidusCloud)",2024-06-28,2650
"Stack Overflow",2024-06-28,1545239
"The Analytics Institute of Ireland",2024-06-28,8785
"NCX",2024-06-28,9232
"Kaggle",2024-06-28,422040
"Institute of Mathematics and its Applications",2024-06-28,25608
"Remote Sensing and Photogrammetry Society (RSPSoc)",2024-06-28,30506
"Open Knowledge Foundation",2024-06-28,9322
"Coillte",2024-06-28,18396
"The unbelievable Machine Company GmbH",2024-06-28,2638
"Lucid Software",2024-06-28,125852
"Alfred P. Sloan Foundation",2024-06-28,4131
"WebsiteNI",2024-06-28,1361
"UN Sustainable Development Group",2024-06-28,241633
"Bloomberg Philanthropies",2024-06-28,114308
"GitHub",2024-06-28,4181892
"Quovantis Technologies",2024-06-28,14538
"r-programming.org",2024-06-28,2363
"Jane Street",2024-06-28,213638
"CSO (Central Statistics Office Ireland)",2024-06-28,11978
"Eraneos Germany",2024-06-28,4419
"Posit PBC",2024-06-28,102438
"Asystec (Now Ergo)",2024-06-28,2486
"Tiger Analytics",2024-06-28,401571
"Irish Defence Forces",2024-06-28,16296
"African Institute for Mathematical Sciences (AIMS)",2024-06-28,22261
"Center for International Environmental Law (CIEL)",2024-06-28,19623
"Inspire Walworth",2024-06-28,89
"WellClever",2024-06-28,121
"RegioData Research GmbH",2024-06-28,355
"Geospatial World",2024-06-28,51745
"General Assembly",2024-06-28,204095
"Walton Family Foundation",2024-06-28,63323
"Coursera",2024-06-28,2070993
"Flowminder",2024-06-28,2272
"Economic and Social Research Institute (ESRI)",2024-06-28,22129
"DataKind",2024-06-28,22704
"Film Analytics",2024-06-28,214
"Knoldus Inc | part of NashTech ",2024-06-28,21705
"STATSports",2024-06-28,39348
"DataRobot",2024-06-28,134233
"FishWise",2024-06-28,5217
"Xava",2024-06-28,303
"Dataiku",2024-06-28,180181
"Senseforth.ai",2024-06-28,41861
"H2O.ai",2024-06-28,133795
"Falkonry",2024-06-28,5223
"Gapminder Foundation",2024-06-28,19320
"Open Data Institute",2024-06-28,18614
"KatRisk",2024-06-28,2682
"Ixio Analytics",2024-06-28,768
"Royal Statistical Society",2024-06-28,15881
"Black Girls Code",2024-06-28,55239
"FutureLearn",2024-06-28,125861
"dotConferences",2024-06-28,630
"Xanadu Consultancy",2024-06-28,2993
"ORRECO",2024-06-28,4189
"Qatar Computing Research Institute",2024-06-28,14568
"DataKind UK",2024-06-28,4165
"DataCamp",2024-06-28,447972
"Women Who Code",2024-06-28,168593
"Kitman Labs",2024-06-28,14127
"Plotly",2024-06-28,40040
"Data for Good",2024-06-28,13136
"Databricks",2024-06-28,707744
"IBM Cloud",2024-06-28,209201
"Appsilon",2024-06-28,8105
"Domino Data Lab",2024-06-28,45036
"BCG Digital Ventures",2024-06-28,158048
"Aon Centre for Innovation and Analytics (ACIA)",2024-06-28,16509
"Analytics Vidhya",2024-06-28,186061
"ProCogia",2024-06-28,8653
"Snowflake",2024-06-28,878927
"Data Science Dojo",2024-06-28,298502
"Fivetran",2024-06-28,108488
"DataIQ",2024-06-28,19699
"Data Science Institute",2024-06-28,19892
"IBM Data AI & Automation",2024-06-28,263384
"Decision Inc.",2024-06-28,35984
"GitLab",2024-06-28,974622
