"Company","Date","Followers"
"Pallas Advisors",2023-06-05,2121
"Pallas Advisors",2023-06-11,2129
"Pallas Advisors",2023-06-23,2145
"IBM",2025-06-07,"18332147"
"Accenture",2025-06-07,"13294353"
"Tata Consultancy Services",2025-06-07,"17320581"
"McKinsey & Company",2025-06-07,"6404458"
"Novartis",2025-06-07,"4159693"
"SAS",2025-06-07,"938032"
"Roche",2025-06-07,"3705150"
"Cognizant",2025-06-07,"8135193"
"Boston Consulting Group (BCG)",2025-06-07,"4922057"
"Informatica",2025-06-07,"346905"
"UNICEF",2025-06-07,"5081595"
"Ascential – Part of the Informa Group",2025-06-07,"68115"
"Esri",2025-06-07,"451685"
"Globant",2025-06-07,"1194242"
"Gates Foundation",2025-06-07,"1363673"
"Nagarro",2025-06-07,"1501719"
"Newgen Software",2025-06-07,"283263"
"Open Society Foundations",2025-06-07,"250558"
"IUCN",2025-06-07,"225181"
"Ford Foundation",2025-06-07,"252416"
"Office for National Statistics",2025-06-07,"80157"
"KIPP Foundation",2025-06-07,"65843"
"RWJF",2025-06-07,"121335"
"United Nations Foundation",2025-06-07,"213532"
"Oceana",2025-06-07,"73040"
"Packt",2025-06-07,"127938"
"United Nations Volunteers",2025-06-07,"3043813"
"Qatar Foundation",2025-06-07,"645331"
"MacArthur Foundation",2025-06-07,"172842"
"Gordon and Betty Moore Foundation",2025-06-07,"17934"
"Two Sigma",2025-06-07,"226612"
"The David and Lucile Packard Foundation",2025-06-07,"54718"
"Skoll Foundation",2025-06-07,"97538"
"Analytic Partners",2025-06-07,"39718"
"Conning",2025-06-07,"17716"
"The James Irvine Foundation",2025-06-07,"23256"
"Menlo Ventures",2025-06-07,"53679"
"William and Flora Hewlett Foundation",2025-06-07,"55040"
"Elm Company",2025-06-07,"734111"
"Doris Duke Foundation",2025-06-07,"10531"
"Mellon Foundation",2025-06-07,"70779"
"W.K. Kellogg Foundation",2025-06-07,"89775"
"Rockefeller Philanthropy Advisors",2025-06-07,"59380"
"Cité des sciences et de l'industrie",2025-06-07,"20905"
"G-Research",2025-06-07,"57360"
"Brightwater Recruitment",2025-06-07,"209561"
"Jupiter Asset Management",2025-06-07,"51082"
"Idiro Analytics",2025-06-07,"5788"
"Datalytics",2025-06-07,"37777"
"Pluralsight",2025-06-07,"220337"
"The Kresge Foundation",2025-06-07,"61882"
"The New York Community Trust",2025-06-07,"8471"
"Women in Technology (WIT)",2025-06-07,"337304"
"MMS",2025-06-07,"59283"
"Cpl",2025-06-07,"387553"
"GlobalLogic",2025-06-07,"1061823"
"Susquehanna International Group",2025-06-07,"197537"
"The Rockefeller Foundation",2025-06-07,"337757"
"Tableau",2025-06-07,"1070170"
"The Linux Foundation",2025-06-07,"360240"
"Genpact",2025-06-07,"4964482"
"i2, Inc.",2025-06-07,"997"
"The Apache Software Foundation",2025-06-07,"76625"
"WorldQuant",2025-06-07,"129103"
"Collibra",2025-06-07,"85398"
"Jump Trading Group",2025-06-07,"92803"
"Qualtrics",2025-06-07,"297926"
