Company,Date,Followers
Google Cloud,2025-03-16,2715320
Google Cloud,2025-04-13,2752577
Google Cloud,2025-04-22,2763365
Google Cloud,2025-04-28,2769141
Google Cloud,2025-05-20,2787673
Google Cloud,2025-05-25,2792331
Google Cloud,2025-05-27,2794154
Google Cloud,2025-06-07,2804626
Google Cloud,2025-06-09,2806799
Google Cloud,2025-06-22,2821131
Google Cloud,2025-07-15,2854347
Google Cloud,2025-07-27,2873631
Google Cloud,2025-08-18,2909040
Google Cloud,2025-08-21,2914515
Google Cloud,2025-08-30,2922943
Google Cloud,2025-09-16,2946987
Google Cloud,2025-09-21,2952881
Google DeepMind,2023-06-05,523908
Google DeepMind,2023-06-11,529988
Google DeepMind,2023-06-23,542483
Google DeepMind,2023-07-06,555726
Google DeepMind,2023-07-23,571219
Google DeepMind,2023-08-05,588090
Google DeepMind,2023-08-29,611243
Google DeepMind,2023-10-18,708394
Google DeepMind,2023-12-17,800559
Google DeepMind,2023-12-18,802770
Google DeepMind,2024-09-02,1056123
Google DeepMind,2025-01-09,1133569
Google DeepMind,2025-01-19,1137754
Google DeepMind,2025-01-27,1141002
Google DeepMind,2025-03-16,1164170
Google DeepMind,2025-04-28,1187054
Google DeepMind,2025-05-27,1208538
Google DeepMind,2025-06-07,1215967
Google DeepMind,2025-07-27,1260528
Google DeepMind,2025-08-30,1299330
Google DeepMind,2025-09-16,1312472
Google Developer Experts,2023-03-13,336893
Google Developer Experts,2023-03-29,340699
Google Developer Experts,2023-04-10,342545
Google Developer Experts,2023-04-23,344750
Google Developer Experts,2023-06-05,353843
Google Developer Experts,2023-06-11,356083
Google Developer Experts,2023-06-23,360326
Google Developer Experts,2023-07-06,365948
Google Developer Experts,2023-07-23,372042
Google Developer Experts,2023-08-05,375033
Google Developer Experts,2023-08-29,379472
Google Developer Experts,2023-10-18,380979
Google Developer Experts,2023-12-18,390806
Google Developer Groups (GDG),2023-10-18,354475
Google Developer Groups (GDG),2023-12-18,371372
Google Developers,2023-01-21,560831
Google Developers,2023-02-25,585665
Google Developers,2023-03-13,601397
Google Developers,2023-03-29,620971
Google Developers,2023-04-10,638171
Google Developers,2023-04-23,654507
Google SEO (Page 1 Google),2023-01-21,21880
Google SEO (Page 1 Google),2023-02-10,21919
Google SEO (Page 1 Google),2023-02-25,21939
Google SEO (Page 1 Google),2023-03-13,21978
Google SEO (Page 1 Google),2023-03-29,22016
Google SEO (Page 1 Google),2023-04-10,22052
Google SEO (Page 1 Google),2023-04-23,22125
Google SEO (Page 1 Google),2023-06-05,22280
Google SEO (Page 1 Google),2023-06-11,22285
Google SEO (Page 1 Google),2023-06-23,22309
Google SEO (Page 1 Google),2023-07-06,22330
Google SEO (Page 1 Google),2023-07-23,22343
Google SEO (Page 1 Google),2023-08-05,22363
Google SEO (Page 1 Google),2023-08-29,22402
Google SEO (Page 1 Google),2023-10-18,21406
Google SEO (Page 1 Google),2023-12-17,21412
Google SEO (Page 1 Google),2023-12-18,21410
Google SEO (Page 1 Google),2025-01-19,21544
Google SEO (Page 1 Google),2025-01-27,21543
Google SEO (Page 1 Google),2025-03-16,21500
Google SEO (Page 1 Google),2025-04-28,21522
Google SEO (Page 1 Google),2025-05-27,21512
Google SEO (Page 1 Google),2025-06-07,21512
Google SEO (Page 1 Google),2025-07-27,21468
Google SEO (Page 1 Google),2025-08-30,21458
Google Season of Docs,2023-01-25,859
Google Summer of Code,2021-01-19,15221
Google Summer of Code,2021-02-19,16812
Google Summer of Code,2021-03-06,17591
Google Summer of Code,2021-03-26,18268
Google Summer of Code,2021-06-02,21903
Google Summer of Code,2021-06-09,22264
Google Summer of Code,2021-06-16,22658
Google Summer of Code,2021-06-21,22857
Google Summer of Code,2021-06-29,23135
Google Summer of Code,2021-07-02,23290
Google Summer of Code,2021-07-04,23386
Google Summer of Code,2021-07-09,23548
Google Summer of Code,2021-07-14,23721
Google Summer of Code,2021-07-18,23873
