Company,Date,Followers
Bamboo Health,2023-07-06,6880
Bamboo Health,2023-07-23,7070
Bamboo Health,2023-08-08,7252
Bamboo Health,2023-08-10,7282
Bamboo Health,2023-09-15,7634
Bamboo Health,2023-10-18,7634
Bamboo Health,2023-12-17,8319
Bamboo Health,2023-12-18,8323
Bamboo Health,2024-01-22,8535
Bamboo Health,2024-04-10,9284
Bamboo Health,2024-05-28,9886
Bamboo Health,2024-08-02,10596
Bamboo Health,2024-08-09,10675
Bamboo Health,2024-09-02,10967
Bamboo Health,2024-09-17,11129
Bamboo Health,2024-09-24,11204
Bamboo Health,2024-10-02,11287
Bamboo Health,2025-01-09,12711
Bamboo Health,2025-01-18,12910
Bamboo Health,2025-01-28,13162
Bamboo Health,2025-02-21,13631
Bamboo Health,2025-03-03,13836
Bamboo Health,2025-03-10,13967
Bamboo Health,2025-03-15,14063
Bamboo Health,2025-04-13,14558
Bamboo Health,2025-04-22,14759
Bamboo Health,2025-05-20,15247
Bamboo Health,2025-05-25,15316
Bamboo Health,2025-06-07,15642
Bamboo Health,2025-06-09,15676
Bamboo Health,2025-06-22,15966
Bamboo Health,2025-07-15,16373
Bamboo Health,2025-07-27,16600
Bamboo Health,2025-08-18,17130
Bamboo Health,2025-08-21,17215
Bamboo Health,2025-09-21,17674
Bamboo Health,2025-10-26,18023
Bamboo Health,2026-02-09,19962
Bamboo Health,2026-02-14,20028
Bamboo Health,2026-02-19,20080
Bamboo Health,2026-02-23,20161
Bamboo Health,2026-02-25,20217
Bamboo Health,2026-02-25,20217
Bamboo Health,2026-02-27,20252
Bamboo Health,2026-02-27,20256
Bamboo Health,2026-03-04,20329
Bamboo Health,2026-03-04,20329
Bamboo Health,2026-03-11,20390
Bamboo Health,2026-03-11,20390
Bamboo Health,2026-04-08,20953
Bamboo Health,2026-04-22,21146
Bamboo Health,2026-05-01,21255
Bamboo Health,2026-07-10,22104
BambooHR,2023-01-21,93205
BambooHR,2023-02-10,94316
BambooHR,2023-02-25,95138
BambooHR,2023-03-13,95992
BambooHR,2023-03-29,96874
BambooHR,2023-04-10,97470
BambooHR,2023-04-23,98291
BambooHR,2023-06-05,100741
BambooHR,2023-06-11,101130
BambooHR,2023-06-23,101881
BambooHR,2023-07-06,102655
BambooHR,2023-07-23,103650
BambooHR,2023-08-05,104435
BambooHR,2023-08-29,105987
BambooHR,2023-10-18,109060
BambooHR,2023-12-17,109268
BambooHR,2023-12-18,109332
BambooHR,2025-01-09,134988
BambooHR,2025-01-19,135972
BambooHR,2025-01-27,136969
BambooHR,2025-03-16,142208
BambooHR,2025-04-28,146154
BambooHR,2025-05-27,148761
BambooHR,2025-06-07,149533
BambooHR,2025-07-27,153184
BambooHR,2025-08-30,155838
Banach Technology Ltd,2020-10-16,512
Banach Technology Ltd,2020-10-20,512
Banach Technology Ltd,2020-10-21,511
Banach Technology Ltd,2020-10-28,513
Banach Technology Ltd,2020-10-31,514
Banach Technology Ltd,2020-11-02,516
Banach Technology Ltd,2020-11-07,517
Banach Technology Ltd,2020-11-12,517
Banach Technology Ltd,2020-11-21,518
Banach Technology Ltd,2020-11-30,518
Banach Technology Ltd,2020-12-08,527
Banach Technology Ltd,2020-12-15,533
Banach Technology Ltd,2020-12-27,534
Banach Technology Ltd,2021-01-19,539
Bangko Sentral ng Pilipinas,2021-02-19,23819
Bangko Sentral ng Pilipinas,2021-03-06,24394
Bangko Sentral ng Pilipinas,2021-03-26,25279
Bank of America,2023-01-21,2389751
Bank of America,2023-02-10,2406118
Bank of America,2023-02-25,2419304
Bank of America,2023-03-13,2433392
Bank of America,2023-03-29,2447680
Bank of America,2023-04-10,2457853
Bank of America,2023-04-23,2470887
Bank of America,2023-06-05,2522682
Bank of America,2023-06-11,2530433
Bank of America,2023-06-23,2546469
Bank of America,2023-07-06,2563184
Bank of America,2023-07-23,2583944
Bank of America,2023-08-05,2604989
Bank of America,2023-08-29,2638227
Bank of America,2023-10-18,2717997
Bank of America,2023-12-14,2337056
Bank of America,2023-12-17,2340485
Bank of America,2023-12-18,2341364
Bank of America,2024-04-08,2431209
Bank of America,2024-05-04,2452432
Bank of America,2024-05-28,2473374
Bank of America,2024-06-24,2492744
Bank of America,2024-06-28,2495892
Bank of America,2024-07-20,2509830
Bank of America,2024-08-06,2522866
Bank of America,2024-09-02,2542287
Bank of America,2024-09-16,2555461
Bank of America,2024-09-27,2567274
Bank of America,2025-01-09,2632716
Bank of America,2025-01-19,2640468
Bank of America,2025-01-27,2646704
Bank of America,2025-03-15,2683026
Bank of America,2025-03-16,2683509
Bank of America,2025-04-28,2721452
Bank of America,2025-05-27,2756234
Bank of America,2025-06-07,2764543
Bank of America,2025-07-27,2858315
Bank of America,2025-08-30,2935373
Bank of America,2025-10-10,3026528
Bank of America,2026-02-04,3231212
Bank of America,2026-03-08,3286140
Bank of America Business,2023-01-21,313410
Bank of America Business,2023-02-25,315325
Bank of America Business,2023-03-13,316119
Bank of America Business,2023-03-29,317054
Bank of America Business,2023-04-10,317701
Bank of America Business,2023-04-23,318482
Bank of America Business,2023-06-05,321189
Bank of America Business,2023-06-11,321711
Bank of America Business,2023-06-23,322903
Bank of America Business,2023-07-06,323650
Bank of America Business,2023-07-23,324421
Bank of America Business,2023-08-05,325723
Bank of America Business,2023-08-29,327998
Bank of America Business,2023-10-18,319205
Bank of America Merrill Lynch,2020-10-16,313400
Bank of America Merrill Lynch,2020-10-28,314040
Bank of America Merrill Lynch,2020-11-21,315194
Bank of America Private Bank,2023-01-21,40595
Bank of America Private Bank,2023-02-25,41253
Bank of America Private Bank,2023-03-13,41542
Bank of America Private Bank,2023-03-29,41848
Bank of America Private Bank,2023-04-10,42023
Bank of America Private Bank,2023-04-23,42230
Bank of America Private Bank,2023-06-05,42819
Bank of America Private Bank,2023-06-11,42937
Bank of America Private Bank,2023-06-23,43181
Bank of America Private Bank,2023-07-06,43381
Bank of America Private Bank,2023-07-23,43608
Bank of America Private Bank,2023-08-05,43840
Bank of America Private Bank,2023-08-29,44218
Bank of America Private Bank,2023-10-18,41886
Bank of America Private Bank,2023-12-18,42626
Bank of America Private Bank,2025-03-16,54878
Bank of America Private Bank,2025-05-27,56076
Bank of England,2025-11-16,393211
Bank of England,2026-01-01,402050
Bank of England,2026-02-09,409154
Bank of Pensacola,2023-01-21,157
Bank of Pensacola,2023-02-10,160
Bank of Pensacola,2023-02-25,159
Bank of Pensacola,2023-03-13,159
Bank of Pensacola,2023-03-29,159
Bank of Pensacola,2023-04-10,161
Bank of Pensacola,2023-04-23,161
Bank of Pensacola,2023-06-05,165
Bank of Pensacola,2023-06-11,165
Bank of Pensacola,2023-06-23,165
Bank of Pensacola,2023-07-06,166
Bank of Pensacola,2023-07-23,167
Bank of Pensacola,2023-08-05,168
Bank of Pensacola,2023-08-29,170
Bank of Pensacola,2023-10-18,167
Bank of Pensacola,2023-12-17,167
Bank of Pensacola,2023-12-18,167
Bank of Pensacola,2025-01-09,189
Bank of Pensacola,2025-01-19,191
