"Company","Date","Followers"
"Aga Khan Foundation USA",2022-10-22,20818
"Aga Khan Foundation USA",2022-10-28,20877
"Aga Khan Foundation USA",2022-11-03,20933
"Aga Khan Foundation USA",2022-11-06,20956
"IBM",2025-07-01,"18409641"
"IBM",2025-07-01,"18409641"
"IBM",2025-07-08,"18436641"
"Accenture",2025-07-08,"13443415"
"Tata Consultancy Services",2025-07-08,"17517678"
"McKinsey & Company",2025-07-08,"6465342"
"Novartis",2025-07-08,"4199197"
"SAS",2025-07-08,"941773"
"Roche",2025-07-08,"3761394"
"Cognizant",2025-07-08,"8258877"
"Boston Consulting Group (BCG)",2025-07-08,"4964683"
"Informatica",2025-07-08,"349512"
"UNICEF",2025-07-08,"5119447"
"Ascential – Part of the Informa Group",2025-07-08,"68308"
"Esri",2025-07-08,"457107"
"Globant",2025-07-08,"1206461"
"Gates Foundation",2025-07-08,"1376883"
"Nagarro",2025-07-08,"1527739"
"Newgen Software",2025-07-08,"286681"
"Open Society Foundations",2025-07-08,"252704"
"IUCN",2025-07-08,"228832"
"Ford Foundation",2025-07-08,"259419"
"Office for National Statistics",2025-07-08,"80782"
"KIPP Foundation",2025-07-08,"66915"
"RWJF",2025-07-08,"122380"
"United Nations Foundation",2025-07-08,"215071"
"Oceana",2025-07-08,"74502"
"Packt",2025-07-08,"128737"
"United Nations Volunteers",2025-07-08,"3057659"
"Qatar Foundation",2025-07-08,"655613"
"MacArthur Foundation",2025-07-08,"178280"
"Gordon and Betty Moore Foundation",2025-07-08,"18531"
"Two Sigma",2025-07-08,"231641"
"The David and Lucile Packard Foundation",2025-07-08,"56180"
"Skoll Foundation",2025-07-08,"99276"
"Analytic Partners",2025-07-08,"40423"
"Conning",2025-07-08,"17817"
"The James Irvine Foundation",2025-07-08,"23583"
"Menlo Ventures",2025-07-08,"54732"
"William and Flora Hewlett Foundation",2025-07-08,"56644"
"Elm Company",2025-07-08,"739569"
"Doris Duke Foundation",2025-07-08,"10796"
"Mellon Foundation",2025-07-08,"73593"
"W.K. Kellogg Foundation",2025-07-08,"91449"
"Rockefeller Philanthropy Advisors",2025-07-08,"60335"
"Cité des sciences et de l'industrie",2025-07-08,"21118"
"G-Research",2025-07-08,"58319"
"Brightwater Recruitment",2025-07-08,"212825"
"Jupiter Asset Management",2025-07-08,"51554"
"Idiro Analytics",2025-07-08,"5810"
"Datalytics",2025-07-08,"38082"
"Pluralsight",2025-07-08,"222019"
"The Kresge Foundation",2025-07-08,"62839"
"The New York Community Trust",2025-07-08,"8592"
"Women in Technology (WIT)",2025-07-08,"338221"
"MMS",2025-07-08,"59904"
"Cpl",2025-07-08,"391091"
"GlobalLogic",2025-07-08,"1075950"
"Susquehanna International Group",2025-07-08,"200779"
"The Rockefeller Foundation",2025-07-08,"344709"
"Tableau",2025-07-08,"1072491"
"The Linux Foundation",2025-07-08,"363993"
"Genpact",2025-07-08,"5034673"
"i2, Inc.",2025-07-08,"996"
"The Apache Software Foundation",2025-07-08,"76991"
"WorldQuant",2025-07-08,"132357"
"Collibra",2025-07-08,"86628"
"Jump Trading Group",2025-07-08,"94739"
"Qualtrics",2025-07-08,"301796"
"United Nations Institute for Training and Research (UNITAR)",2025-07-08,"449390"
"Remsoft",2025-07-08,"4854"
"TxMQ",2025-07-08,"3665"
"Altair RapidMiner",2025-07-08,"20862"
"Canadian Institute of Actuaries l Institut canadien des actuaires",2025-07-08,"12150"
"Geoscience Australia",2025-07-08,"44476"
"Conrad N. Hilton Foundation",2025-07-08,"30570"
"KNIME",2025-07-08,"63474"
"Irish Centre for High-End Computing ICHEC",2025-07-08,"1937"
"Udemy",2025-07-08,"1562191"
"Pacific Whale Foundation",2025-07-08,"3492"
"QuantumBlack, AI by McKinsey",2025-07-08,"218078"
"Alteryx",2025-07-08,"344410"
"WebExpo Conference",2025-07-08,"4883"
"Datahug (acquired by CallidusCloud)",2025-07-08,"2639"
"Stack Overflow",2025-07-08,"1575671"
"The Analytics Institute",2025-07-08,"9903"
"NCX",2025-07-08,"9708"
"Kaggle",2025-07-08,"459500"
"Institute of Mathematics and its Applications",2025-07-08,"29396"
"Remote Sensing and Photogrammetry Society (RSPSoc)",2025-07-08,"34420"
"Open Knowledge Foundation",2025-07-08,"12270"
"Coillte",2025-07-08,"19836"
"The unbelievable Machine Company GmbH",2025-07-08,"2782"
"Lucid Software",2025-07-08,"139000"
"Alfred P. Sloan Foundation",2025-07-08,"6774"
"WebsiteNI",2025-07-08,"2070"
"UN Sustainable Development Group",2025-07-08,"254163"
"Bloomberg Philanthropies",2025-07-08,"191219"
"GitHub",2025-07-08,"4921186"
"Quovantis Technologies",2025-07-08,"14799"
"r-programming.org",2025-07-08,"2342"
"La Villette",2025-07-08,"25290"
"Jane Street",2025-07-08,"308634"
"CSO (Central Statistics Office Ireland)",2025-07-08,"13476"
"Eraneos Germany",2025-07-08,"5220"
"Posit PBC",2025-07-08,"110364"
"Asystec (Now Ergo)",2025-07-08,"2501"
"Tiger Analytics",2025-07-08,"533170"
"Irish Defence Forces",2025-07-08,"19158"
"African Institute for Mathematical Sciences (AIMS)",2025-07-08,"25032"
"Center for International Environmental Law (CIEL)",2025-07-08,"27339"
"Inspire Walworth",2025-07-08,"98"
"WellClever",2025-07-08,"120"
"RegioData Research GmbH",2025-07-08,"436"
"VSN International",2025-07-08,"3851"
"Geospatial World",2025-07-08,"57266"
"General Assembly",2025-07-08,"211737"
"Walton Family Foundation",2025-07-08,"73105"
"Coursera",2025-07-08,"2356903"
"Flowminder",2025-07-08,"2741"
"Economic and Social Research Institute (ESRI)",2025-07-08,"28423"
"DataKind",2025-07-08,"28915"
"Film Analytics",2025-07-08,"213"
"Knoldus Inc | part of NashTech ",2025-07-08,"22046"
"STATSports",2025-07-08,"49660"
"DataRobot",2025-07-08,"146275"
"FishWise",2025-07-08,"5998"
"Xava",2025-07-08,"334"
"Dataiku",2025-07-08,"211771"
"Senseforth.ai",2025-07-08,"42384"
"H2O.ai",2025-07-08,"143091"
"Falkonry",2025-07-08,"5625"
"Gapminder Foundation",2025-07-08,"20543"
"Open Data Institute",2025-07-08,"21091"
"KatRisk",2025-07-08,"3910"
"Ixio Analytics",2025-07-08,"758"
"Xomnia",2025-07-08,"9368"
"Royal Statistical Society",2025-07-08,"20212"
"Black Girls Code",2025-07-08,"59905"
"FutureLearn",2025-07-08,"132184"
"dotAI by dotConferences",2025-07-08,"1378"
"Xanadu Consultancy",2025-07-08,"3115"
"ORRECO",2025-07-08,"5326"
"Qatar Computing Research Institute",2025-07-08,"20956"
"DataKind UK",2025-07-08,"5241"
"DataCamp",2025-07-08,"518903"
"Women Who Code",2025-07-08,"176761"
"Kitman Labs",2025-07-08,"16177"
"Plotly",2025-07-08,"42681"
"Data for Good",2025-07-08,"15068"
"Databricks",2025-07-08,"962909"
"IBM Hybrid Cloud and Infrastructure",2025-07-08,"278276"
"Appsilon",2025-07-08,"10704"
"Domino Data Lab",2025-07-08,"51441"
"BCG Digital Ventures",2025-07-08,"159538"
"Aon Centre for Innovation and Analytics (ACIA)",2025-07-08,"17733"
"Analytics Vidhya",2025-07-08,"203261"
"ProCogia",2025-07-08,"10867"
"Snowflake",2025-07-08,"1094376"
"Palomar ",2025-07-08,"6075"
"Data Science Dojo",2025-07-08,"306285"
"Fivetran",2025-07-08,"131114"
"DataIQ",2025-07-08,"23694"
"Data Science Institute",2025-07-08,"20025"
"IBM Data, AI & Automation",2025-07-08,"286175"
"CARTO",2025-07-08,"51565"
"Decision Inc.",2025-07-08,"37737"
"GitLab",2025-07-08,"1056989"
"Sustainable Development Solutions Network",2025-07-08,"81028"
"Segal Family Foundation",2025-07-08,"24740"
"Python Software Foundation",2025-07-08,"140758"
"Netcelero",2025-07-08,"1798"
"IHM ",2025-07-08,"4635"
"Major League Hacking",2025-07-08,"45508"
"UK Statistics Authority ",2025-07-08,"4920"
"Data Science Central",2025-07-08,"274372"
"SkyTruth",2025-07-08,"4269"
"VERDE",2025-07-08,"266"
"Daybreak",2025-07-08,"32100"
"Global Partnership for Sustainable Development Data",2025-07-08,"15225"
"Development Seed",2025-07-08,"7864"
"Group on Earth Observations (GEO)",2025-07-08,"18836"
"Squarepoint",2025-07-08,"60447"
"ADAPT Centre",2025-07-08,"8227"
"Data & Society Research Institute",2025-07-08,"23250"
"Appinventiv",2025-07-08,"606110"
"Gower Street Analytics",2025-07-08,"2369"
"Open Data Science Conference (ODSC)",2025-07-08,"142737"
"JuliaHub",2025-07-08,"33159"
"Python Ireland",2025-07-08,"4055"
"ThinkR (FR)",2025-07-08,"990"
"Sololearn",2025-07-08,"169601"
"Seekho.pk",2025-07-08,"17490"
"Lander Analytics",2025-07-08,"788"
"Dataquest.io",2025-07-08,"45937"
"NumFOCUS",2025-07-08,"10972"
"Ursa Labs",2025-07-08,"452"
"The Alan Turing Institute",2025-07-08,"95896"
"Klue",2025-07-08,"30331"
"insight2impact",2025-07-08,"1373"
"PyCon Italia",2025-07-08,"3266"
"PyData Berlin",2025-07-08,"1435"
"Project Jupyter",2025-07-08,"17962"
"GapData Institute",2025-07-08,"169"
"SatVu",2025-07-08,"11623"
"Data Science Academy",2025-07-08,"547454"
"Data For Good",2025-07-08,"25008"
"Twenty Billion Neurons",2025-07-08,"3266"
"Machine Learning Mastery",2025-07-08,"285504"
"SuperDataScience",2025-07-08,"94012"
"Big Data LDN",2025-07-08,"14154"
"Xuntos - Let's Get Together",2025-07-08,"833"
"Microsoft Power BI Mastery",2025-07-08,"86163"
"Zendesk AI agents (Ultimate)",2025-07-08,"14165"
"QuantStack",2025-07-08,"2327"
"Derilinx",2025-07-08,"1272"
"Radiant Earth",2025-07-08,"10534"
"United Nations Satellite Centre (UNOSAT)",2025-07-08,"8542"
"Global Fishing Watch",2025-07-08,"21625"
"OpenAI",2025-07-08,"7360957"
"RSS Data Science and AI Section",2025-07-08,"2938"
"Invenia Labs",2025-07-08,"2608"
"Hugging Face",2025-07-08,"1007355"
"Comunidad R Hispano",2025-07-08,"1177"
"The Global Academy",2025-07-08,"514"
"Open Cadastre",2025-07-08,"27"
"Sister Analyst",2025-07-08,"549"
"SDG Academy",2025-07-08,"30868"
"Innovate Limerick",2025-07-08,"923"
"Réalta Technologies",2025-07-08,"7843"
"R-Ladies Belo Horizonte",2025-07-08,"2176"
