Company,Date,Followers
JuliaHub,2025-11-24,34374
JuliaCon 2026,2025-11-24,5383
SciML,2025-11-24,4112
JuliaActuary,2025-11-24,3220
Julia Developer,2025-11-24,4888
PumasAI,2025-11-24,6263
JuliaLang Eindhoven,2025-11-24,617
Google Summer of Code,2025-11-24,112751
Sparkflows,2025-11-24,3187
MathWorks,2025-11-24,469572
Modelica Association,2025-11-24,3899
jolin.io,2025-11-24,438
Time Series Analysis And Forecasting Society (TAFS),2025-11-24,2882
MIT CSAIL,2025-11-24,168434
PathAI,2025-11-24,83748
CriticalRiver Inc.,2025-11-24,86861
Vidur Research,2025-11-24,1140
NumFOCUS,2025-11-24,11432
Plotly,2025-11-24,43587
The Julia Language,2025-11-24,16350
PyData Paris,2025-11-24,1919
Vizuara Technologies Private Limited,2025-11-24,24279
Videsh,2025-11-24,4497
CodeGlass,2025-11-24,279
Temple Capital,2025-11-24,413
Forschungszentrum Jülich,2025-11-24,76571
Weights & Biases,2025-11-24,86555
INFORMS Military and Security Society,2025-11-24,332
Julialanguage,2025-11-24,565
Seearth Consulting,2025-11-24,8
SEEARTH,2025-11-24,26
geosky | spatial analytics,2025-11-24,8
Ekioh,2025-11-24,177
Engelmann Energiesysteme GmbH,2025-11-24,368
PyData,2025-11-16,1925
NumFOCUS,2025-11-16,11411
PyData Amsterdam,2025-11-16,5513
Vie-Publique SN,2025-11-16,61767
University of Oxford,2025-11-16,1483761
Y Combinator,2025-11-16,1513099
PyData Global,2025-11-16,7765
Google Summer of Code,2025-11-16,112245
Anaconda, Inc.,2025-11-16,100543
JavaScript Developer,2025-11-16,1453303
Aon Centre for Innovation and Analytics (ACIA),2021-07-22,12237
Aon Centre for Innovation and Analytics (ACIA),2021-08-14,12320
Aon Centre for Innovation and Analytics (ACIA),2021-08-26,12381
Aon Centre for Innovation and Analytics (ACIA),2021-09-02,12395
Aon Centre for Innovation and Analytics (ACIA),2021-09-16,12460
Aon Centre for Innovation and Analytics (ACIA),2021-10-17,12593
Aon Centre for Innovation and Analytics (ACIA),2021-10-29,12675
Aon Centre for Innovation and Analytics (ACIA),2021-11-06,12725
Aon Centre for Innovation and Analytics (ACIA),2021-11-20,12787
Aon Centre for Innovation and Analytics (ACIA),2021-12-07,12881
Aon Centre for Innovation and Analytics (ACIA),2021-12-14,12896
Aon Centre for Innovation and Analytics (ACIA),2021-12-20,12927
Aon Centre for Innovation and Analytics (ACIA),2021-12-26,12943
Aon Centre for Innovation and Analytics (ACIA),2021-12-30,12958
Aon Centre for Innovation and Analytics (ACIA),2021-12-31,12958
Aon Centre for Innovation and Analytics (ACIA),2022-01-03,12965
Aon Centre for Innovation and Analytics (ACIA),2022-01-04,12969
Aon Centre for Innovation and Analytics (ACIA),2022-01-06,12972
Aon Centre for Innovation and Analytics (ACIA),2022-01-07,12981
Aon Centre for Innovation and Analytics (ACIA),2022-01-10,12990
Aon Centre for Innovation and Analytics (ACIA),2022-01-14,13023
Aon Centre for Innovation and Analytics (ACIA),2022-01-18,13047
Aon Centre for Innovation and Analytics (ACIA),2022-01-27,13086
Aon Centre for Innovation and Analytics (ACIA),2022-02-01,13132
Aon Centre for Innovation and Analytics (ACIA),2022-02-07,13185
Aon Centre for Innovation and Analytics (ACIA),2022-02-10,13216
Aon Centre for Innovation and Analytics (ACIA),2022-02-12,13239
Aon Centre for Innovation and Analytics (ACIA),2022-02-16,13267
Aon Centre for Innovation and Analytics (ACIA),2022-02-26,13335
Aon Centre for Innovation and Analytics (ACIA),2022-03-07,13385
Aon Centre for Innovation and Analytics (ACIA),2022-03-15,13438
Aon Centre for Innovation and Analytics (ACIA),2022-03-20,13476
Aon Centre for Innovation and Analytics (ACIA),2022-03-31,13538
Aon Centre for Innovation and Analytics (ACIA),2022-04-09,13569
Aon Centre for Innovation and Analytics (ACIA),2022-04-11,13578
Aon Centre for Innovation and Analytics (ACIA),2022-04-13,13590
Aon Centre for Innovation and Analytics (ACIA),2022-04-19,13619
Aon Centre for Innovation and Analytics (ACIA),2022-04-25,13647
Aon Centre for Innovation and Analytics (ACIA),2022-05-05,13335
Aon Centre for Innovation and Analytics (ACIA),2022-05-22,13898
Aon Centre for Innovation and Analytics (ACIA),2022-05-23,13907
Aon Centre for Innovation and Analytics (ACIA),2022-05-25,13924
Aon Centre for Innovation and Analytics (ACIA),2022-05-27,13946
Aon Centre for Innovation and Analytics (ACIA),2022-05-30,13964
Aon Centre for Innovation and Analytics (ACIA),2022-06-03,14010
Aon Centre for Innovation and Analytics (ACIA),2022-06-07,14045
Aon Centre for Innovation and Analytics (ACIA),2022-06-08,14045
Aon Centre for Innovation and Analytics (ACIA),2022-06-11,14095
Aon Centre for Innovation and Analytics (ACIA),2022-06-13,14117
Aon Centre for Innovation and Analytics (ACIA),2022-06-15,14143
Aon Centre for Innovation and Analytics (ACIA),2022-06-20,14190
Aon Centre for Innovation and Analytics (ACIA),2022-06-22,14219
Aon Centre for Innovation and Analytics (ACIA),2022-06-23,14227
Aon Centre for Innovation and Analytics (ACIA),2022-06-24,14241
Aon Centre for Innovation and Analytics (ACIA),2022-06-26,14254
Aon Centre for Innovation and Analytics (ACIA),2022-06-28,14291
Aon Centre for Innovation and Analytics (ACIA),2022-06-30,14314
Aon Centre for Innovation and Analytics (ACIA),2022-07-01,14329
Aon Centre for Innovation and Analytics (ACIA),2022-07-02,14335
Aon Centre for Innovation and Analytics (ACIA),2022-07-04,14359
Aon Centre for Innovation and Analytics (ACIA),2022-07-05,14375
Aon Centre for Innovation and Analytics (ACIA),2022-07-09,14414
Aon Centre for Innovation and Analytics (ACIA),2022-07-12,14446
Aon Centre for Innovation and Analytics (ACIA),2022-07-18,14505
Aon Centre for Innovation and Analytics (ACIA),2022-07-21,14550
Aon Centre for Innovation and Analytics (ACIA),2022-07-23,14578
Aon Centre for Innovation and Analytics (ACIA),2022-07-25,14596
Aon Centre for Innovation and Analytics (ACIA),2022-08-01,14674
Aon Centre for Innovation and Analytics (ACIA),2022-08-08,14741
Aon Centre for Innovation and Analytics (ACIA),2022-08-16,14794
Aon Centre for Innovation and Analytics (ACIA),2022-08-20,14808
Aon Centre for Innovation and Analytics (ACIA),2022-08-25,14825
Aon Centre for Innovation and Analytics (ACIA),2022-08-28,14842
Aon Centre for Innovation and Analytics (ACIA),2022-09-01,14862
Aon Centre for Innovation and Analytics (ACIA),2022-09-07,14882
Aon Centre for Innovation and Analytics (ACIA),2022-09-10,14901
Aon Centre for Innovation and Analytics (ACIA),2022-09-16,14923
Aon Centre for Innovation and Analytics (ACIA),2022-09-22,14941
Aon Centre for Innovation and Analytics (ACIA),2022-09-29,14962
Aon Centre for Innovation and Analytics (ACIA),2022-10-03,14972
Aon Centre for Innovation and Analytics (ACIA),2022-10-09,15004
Aon Centre for Innovation and Analytics (ACIA),2022-10-12,15022
Aon Centre for Innovation and Analytics (ACIA),2022-10-16,15038
Aon Centre for Innovation and Analytics (ACIA),2022-10-22,15056
Aon Centre for Innovation and Analytics (ACIA),2022-10-28,15073
Aon Centre for Innovation and Analytics (ACIA),2022-11-03,15088
Aon Centre for Innovation and Analytics (ACIA),2022-11-06,15099
Aon Centre for Innovation and Analytics (ACIA),2022-11-14,15131
Aon Centre for Innovation and Analytics (ACIA),2022-11-20,15143
Aon Centre for Innovation and Analytics (ACIA),2022-11-24,15153
Aon Centre for Innovation and Analytics (ACIA),2022-12-01,15170
Aon Centre for Innovation and Analytics (ACIA),2022-12-08,15178
Aon Centre for Innovation and Analytics (ACIA),2022-12-14,15202
Aon Centre for Innovation and Analytics (ACIA),2022-12-27,15219
Aon Centre for Innovation and Analytics (ACIA),2023-01-01,15225
Aon Centre for Innovation and Analytics (ACIA),2023-01-05,15238
Aon Centre for Innovation and Analytics (ACIA),2023-01-09,15254
Aon Centre for Innovation and Analytics (ACIA),2023-01-22,15292
Aon Centre for Innovation and Analytics (ACIA),2023-01-28,15308
Aon Centre for Innovation and Analytics (ACIA),2023-02-04,15334
Aon Centre for Innovation and Analytics (ACIA),2023-02-10,15355
Aon Centre for Innovation and Analytics (ACIA),2023-02-13,15370
Aon Centre for Innovation and Analytics (ACIA),2023-02-24,15441
Aon Centre for Innovation and Analytics (ACIA),2023-03-10,15522
Aon Centre for Innovation and Analytics (ACIA),2023-03-14,15539
Aon Centre for Innovation and Analytics (ACIA),2023-03-18,15557
